test_name,metric_name,projection,factor,variance_ratio,p_value,n_groups,significant
SPA-001,smoothness,value_mean,gamma_id,0.9370989378900673,0.0,12,True
SPA-001,smoothness,relative_change,gamma_id,0.9297593253548061,3.2497083006384934e-299,12,True
SPA-001,smoothness,value_final,gamma_id,0.928377308335364,0.0,12,True
SPA-001,smoothness,volatility,gamma_id,0.921797053855461,0.0,12,True
UNIV-001,frobenius_norm,volatility,gamma_id,0.896552442318613,0.0,12,True
SPA-001,laplacian_energy,volatility,gamma_id,0.7806490269275421,0.0,12,True
SPE-002,spectral_radius,volatility,gamma_id,0.7749316501725835,6.129340076479169e-285,12,True
SPE-001,eigenvalue_max,volatility,gamma_id,0.7749316501725835,6.129340076479169e-285,12,True
GRA-001,clustering_local,volatility,gamma_id,0.7676348223866903,6.854096831254778e-288,12,True
GRA-001,clustering_local,value_final,gamma_id,0.7466412049315898,0.0,12,True
GRA-001,density,volatility,gamma_id,0.7376543682493731,2.3712351878605052e-281,12,True
GRA-001,clustering_local,value_mean,gamma_id,0.7328231728892962,0.0,12,True
GRA-001,degree_variance,value_final,gamma_id,0.716366935975963,0.0,12,True
SPA-001,laplacian_energy,value_final,gamma_id,0.7134192123831035,0.0,12,True
GRA-001,density,value_final,gamma_id,0.703498874720915,0.0,12,True
SPA-001,laplacian_energy,value_mean,gamma_id,0.6939132209757441,2.396152369284336e-299,12,True
GRA-001,density,value_mean,gamma_id,0.6843670587707641,0.0,12,True
SYM-001,asymmetry_norm_normalized,volatility,gamma_id,0.6780760344338278,6.610796531443934e-133,12,True
PAT-001,concentration_top10,value_final,gamma_id,0.6548620285285428,0.0,12,True
SPA-001,gradient_magnitude,value_final,gamma_id,0.6057579366278405,0.0,12,True
SPA-001,gradient_magnitude,value_mean,gamma_id,0.6057174036466474,0.0,12,True
SYM-001,asymmetry_norm,volatility,gamma_id,0.6008755078104813,4.000780159373907e-96,12,True
SPA-001,smoothness,slope,gamma_id,0.5941124146046437,0.0,12,True
SPA-001,gradient_magnitude,slope,gamma_id,0.5930701627765723,0.0,12,True
GRA-001,degree_variance,volatility,gamma_id,0.5683051599910977,2.275921921679605e-224,12,True
PAT-001,concentration_top10,value_mean,gamma_id,0.5551755853103245,0.0,12,True
GRA-001,degree_variance,slope,gamma_id,0.5497786163593181,1.2026902183781952e-271,12,True
GRA-001,density,slope,gamma_id,0.5269436641553655,0.0,12,True
GRA-001,clustering_local,slope,gamma_id,0.5240214091101645,0.0,12,True
SPE-001,spectral_gap,slope,gamma_id,0.5148666449904061,7.845327006665297e-197,12,True
PAT-001,diversity_simpson,value_final,gamma_id,0.5100998274166554,0.0,12,True
PAT-001,uniformity,value_final,gamma_id,0.5100998274166553,0.0,12,True
SPE-001,spectral_gap,value_final,gamma_id,0.5001192072102747,1.0802047503033689e-191,12,True
TOP-001,holes_count,slope,gamma_id,0.48968403629311524,9.750984963023973e-253,12,True
PAT-001,uniformity,value_mean,gamma_id,0.4879780083482502,0.0,12,True
PAT-001,diversity_simpson,value_mean,gamma_id,0.48797800834825017,0.0,12,True
GRA-001,degree_variance,value_mean,gamma_id,0.4838877854307771,1.0017585768896938e-301,12,True
UNIV-002,trace_absolute,volatility,gamma_id,0.4777275040740965,2.8270482660595284e-157,12,True
UNIV-002,trace_normalized,volatility,gamma_id,0.47626283946346926,1.7933894908126736e-156,12,True
TOP-001,holes_count,value_final,gamma_id,0.4685941930511457,8.293994260188386e-181,12,True
TOP-001,holes_count,volatility,gamma_id,0.4623229019935442,0.0,12,True
TOP-001,euler_characteristic,volatility,gamma_id,0.4616743122671118,0.0,12,True
TOP-001,connected_components,value_final,gamma_id,0.4444384392516406,7.444804603816086e-205,12,True
TOP-001,connected_components,value_mean,gamma_id,0.41519725544984915,1.7742389902473987e-181,12,True
TOP-001,connected_components,slope,gamma_id,0.41321503950660177,1.4452177561210253e-206,12,True
TOP-001,connected_components,volatility,gamma_id,0.4043489959388479,0.0,12,True
PAT-001,concentration_top10,relative_change,gamma_id,0.3945048300912899,0.0,12,True
SYM-001,asymmetry_norm_normalized,value_mean,d_encoding_id,0.3822415951096629,2.098588095685765e-214,10,True
SYM-001,asymmetry_norm_normalized,value_final,gamma_id,0.380396009438101,3.0203710831996794e-207,12,True
SPE-001,spectral_gap,value_mean,gamma_id,0.37860245588731284,5.759793293656937e-111,12,True
TOP-001,holes_count,value_mean,gamma_id,0.358494613794321,1.7141361141620117e-126,12,True
SYM-001,asymmetry_norm_normalized,value_mean,gamma_id,0.3311338598749746,7.801750337709808e-122,12,True
SPA-001,gradient_magnitude,relative_change,gamma_id,0.3264555963221291,2.1307865637065424e-299,12,True
SPA-001,laplacian_energy,relative_change,d_encoding_id,0.309154039381799,1.923763153041663e-88,10,True
SPE-001,spectral_gap,value_mean,d_encoding_id,0.29101485195372134,1.0960295030798072e-205,10,True
SYM-001,asymmetry_norm_normalized,value_final,d_encoding_id,0.2900074153457426,9.812391376573739e-123,10,True
TOP-001,connected_components,value_mean,d_encoding_id,0.28293130233492786,1.6794971182042425e-153,10,True
TOP-001,holes_count,value_mean,d_encoding_id,0.25952011921066204,2.3637094833795492e-147,10,True
SYM-001,asymmetry_norm_normalized,relative_change,gamma_id,0.2473742081424054,9.72068246807489e-133,12,True
TOP-001,connected_components,value_final,d_encoding_id,0.23954057475294127,1.1558935551952954e-116,10,True
TOP-001,euler_characteristic,value_mean,d_encoding_id,0.23825208155340888,1.045571967315738e-71,10,True
TOP-001,euler_characteristic,value_final,d_encoding_id,0.22457193826337882,4.8029108603903625e-54,10,True
PAT-001,concentration_top10,volatility,gamma_id,0.20029983812837765,0.0,12,True
TOP-001,holes_count,value_final,d_encoding_id,0.1713319217635608,6.557124302820106e-98,10,True
SPA-001,laplacian_energy,value_mean,d_encoding_id,0.14701576850956247,9.580592529857167e-91,10,True
PAT-001,uniformity,value_mean,d_encoding_id,0.14587511853874444,1.5456764364212648e-94,13,True
PAT-001,diversity_simpson,value_mean,d_encoding_id,0.14587511853874444,1.543985770509234e-94,13,True
SPE-001,spectral_gap,relative_change,gamma_id,0.1404210599135468,6.557516132897537e-142,12,True
SPE-001,spectral_gap,value_final,d_encoding_id,0.1385873394658726,1.3658582492761752e-87,10,True
PAT-001,diversity_simpson,value_final,d_encoding_id,0.1335899475304961,1.629223179668888e-58,13,True
PAT-001,uniformity,value_final,d_encoding_id,0.13358994753049608,1.629223179668888e-58,13,True
PAT-001,concentration_top10,value_mean,d_encoding_id,0.1297622725948175,3.7434151937669495e-51,13,True
TOP-001,holes_count,relative_change,gamma_id,0.12820219325470036,0.0,12,True
GRA-001,density,relative_change,d_encoding_id,0.12699273090926472,1.077573746193261e-38,10,True
GRA-001,clustering_local,relative_change,d_encoding_id,0.12678931440960015,1.877103129321455e-24,10,True
TOP-001,holes_count,relative_change,d_encoding_id,0.11935977528238323,1.884379002268503e-05,10,True
SPA-001,laplacian_energy,value_final,d_encoding_id,0.10909681106595474,2.407270802898819e-29,10,True
TOP-001,connected_components,relative_change,gamma_id,0.10794600114866319,0.0,12,True
PAT-001,uniformity,volatility,d_encoding_id,0.10237786377400562,1.2717655114950827e-06,13,True
PAT-001,uniformity,volatility,gamma_id,0.10191119459142262,0.0,12,True
SPE-001,spectral_gap,volatility,gamma_id,0.10032679494716282,5.9915683772533594e-173,12,True
PAT-001,diversity_simpson,relative_change,d_encoding_id,0.09996926236163345,0.0021181601362006914,13,True
SPE-001,spectral_gap,relative_change,d_encoding_id,0.09744326056104945,2.5894524385682737e-55,10,True
PAT-001,uniformity,relative_change,d_encoding_id,0.09299540726403334,0.0011332279936451558,13,True
PAT-001,concentration_top10,slope,d_encoding_id,0.08249448884621036,1.322615521759698e-52,13,True
TOP-001,euler_characteristic,value_final,modifier_id,0.07941559099772293,2.4060426290886724e-33,4,True
PAT-001,diversity_simpson,volatility,d_encoding_id,0.07716878355197519,2.0019281815647354e-06,13,True
TOP-001,connected_components,relative_change,d_encoding_id,0.07488817103152058,5.903498094469014e-17,10,True
TOP-001,euler_characteristic,value_mean,modifier_id,0.07313658017892417,7.021939169410878e-34,4,True
GRA-001,density,value_mean,d_encoding_id,0.07212386562531393,1.4163316304729503e-77,10,True
GRA-001,degree_variance,volatility,d_encoding_id,0.07100440188895972,3.964608032005158e-45,10,True
PAT-001,diversity_simpson,volatility,gamma_id,0.07088799089069814,0.0,12,True
PAT-001,concentration_top10,value_final,d_encoding_id,0.07030796555759293,2.647647608273639e-19,13,True
SPA-001,laplacian_energy,relative_change,gamma_id,0.06060922584501891,7.340953022977856e-274,12,True
GRA-001,clustering_local,value_mean,d_encoding_id,0.06001652717767081,8.00209687967229e-59,10,True
SPA-001,gradient_magnitude,volatility,gamma_id,0.059054020246424255,0.0,12,True
PAT-001,uniformity,slope,gamma_id,0.058053202978875805,0.0,12,True
PAT-001,diversity_simpson,slope,gamma_id,0.05805320297887571,0.0,12,True
GRA-001,density,value_final,d_encoding_id,0.057767642053040885,1.454328626951564e-26,10,True
TOP-001,euler_characteristic,value_final,seed,0.05432169542814166,1.301581235992763e-56,5,True
TOP-001,euler_characteristic,value_mean,seed,0.05292667024935506,2.8797430484473144e-61,5,True
PAT-001,diversity_simpson,slope,d_encoding_id,0.051328333521497065,4.350632452430265e-32,13,True
PAT-001,uniformity,slope,d_encoding_id,0.05132833352149705,6.309495133005643e-35,13,True
SYM-001,asymmetry_norm_normalized,slope,gamma_id,0.05042888831113584,5.759822293778022e-129,12,True
GRA-001,clustering_local,value_final,d_encoding_id,0.05041109623119697,3.766950321513531e-21,10,True
SPA-001,gradient_magnitude,relative_change,d_encoding_id,0.0500620489185665,8.025838823822784e-14,10,True
SYM-001,asymmetry_norm,volatility,modifier_id,0.0500567010143776,3.868307754118413e-109,4,True
PAT-001,uniformity,relative_change,gamma_id,0.04962845891181132,0.0,12,True
PAT-001,diversity_simpson,value_mean,modifier_id,0.04845002837020237,2.0895002291796336e-09,4,True
PAT-001,uniformity,value_mean,modifier_id,0.04845002837020236,2.0884210242182995e-09,4,True
SYM-001,asymmetry_norm_normalized,relative_change,modifier_id,0.04757019990533031,7.930182005278027e-114,4,True
PAT-001,diversity_simpson,relative_change,gamma_id,0.045759354475984663,0.0,12,True
PAT-001,diversity_simpson,value_final,modifier_id,0.04447208191912586,1.145437340763251e-09,4,True
PAT-001,uniformity,value_final,modifier_id,0.044472081919125814,1.145437340763251e-09,4,True
PAT-001,concentration_top10,relative_change,d_encoding_id,0.04383721579625808,6.66246522309286e-06,13,True
SYM-001,asymmetry_norm_normalized,slope,d_encoding_id,0.04371347801661192,7.922429431522511e-117,10,True
TOP-001,holes_count,value_mean,modifier_id,0.04313107618579675,2.328909777281381e-33,4,True
SPA-001,gradient_magnitude,value_mean,d_encoding_id,0.042472501758247294,3.1920942859717165e-39,10,True
SPA-001,gradient_magnitude,value_final,d_encoding_id,0.04228933976761462,3.783980080763893e-13,10,True
SYM-001,asymmetry_norm,volatility,d_encoding_id,0.04205697411087319,6.993353086729678e-96,10,True
TOP-001,euler_characteristic,slope,gamma_id,0.039301901036709316,1.3360097992935022e-75,12,True
TOP-001,euler_characteristic,slope,d_encoding_id,0.03796448844949517,1.5384897650823768e-27,10,True
GRA-001,density,slope,d_encoding_id,0.036925876490488146,1.467395212359115e-63,10,True
GRA-001,clustering_local,slope,d_encoding_id,0.03572457815928833,5.584281676615234e-41,10,True
SYM-001,asymmetry_norm_normalized,relative_change,d_encoding_id,0.03439737431182823,0.2920516286210934,10,False
TOP-001,holes_count,slope,d_encoding_id,0.03380361221866862,7.927418501046443e-12,10,True
TOP-001,connected_components,volatility,d_encoding_id,0.03365306851396462,3.934479352201996e-11,10,True
SPA-001,gradient_magnitude,volatility,d_encoding_id,0.03339259627650237,1.1955891430513116e-25,10,True
SPA-001,gradient_magnitude,slope,d_encoding_id,0.032391252061444484,6.941625264270581e-23,10,True
SPA-001,smoothness,slope,d_encoding_id,0.03225973983778473,2.1268720000144304e-55,10,True
TOP-001,holes_count,value_final,modifier_id,0.03175089690127766,1.3406571101291417e-26,4,True
GRA-001,density,relative_change,modifier_id,0.03130822485517075,1.1270431732042475e-11,4,True
GRA-001,clustering_local,relative_change,modifier_id,0.03128926492064067,1.850110908942203e-11,4,True
GRA-001,density,volatility,d_encoding_id,0.028272860871134467,1.1530231911304253e-30,10,True
PAT-001,concentration_top10,volatility,d_encoding_id,0.028103873374514296,3.737494089795204e-11,13,True
SPA-001,laplacian_energy,slope,d_encoding_id,0.02715122149135601,1.0800036466701408e-52,10,True
GRA-001,degree_variance,value_mean,d_encoding_id,0.027093219834237205,4.765512529845669e-69,10,True
TOP-001,holes_count,volatility,d_encoding_id,0.026460508096019353,1.6774518162619894e-15,10,True
UNIV-002,trace_normalized,volatility,d_encoding_id,0.02606626568806053,2.079858224393697e-41,10,True
UNIV-002,trace_absolute,volatility,d_encoding_id,0.025836212015811516,3.1730316447415157e-40,10,True
SPE-001,spectral_gap,volatility,d_encoding_id,0.025403037146919393,4.452891452701539e-98,10,True
SPA-001,laplacian_energy,volatility,d_encoding_id,0.02495914323608723,8.27591663238714e-23,10,True
TOP-001,connected_components,slope,d_encoding_id,0.02338906266432324,3.770327143306837e-31,10,True
TOP-001,euler_characteristic,relative_change,d_encoding_id,0.02323636704736741,0.02060081823081945,10,True
SPA-001,laplacian_energy,slope,gamma_id,0.02286470678137369,2.2177776036634168e-266,12,True
TOP-001,connected_components,value_mean,modifier_id,0.02283099143549267,1.3074290048929529e-06,4,True
TOP-001,euler_characteristic,value_mean,gamma_id,0.022550774873948756,3.1706371938442405e-07,12,True
SPA-001,gradient_magnitude,value_final,modifier_id,0.021589943484801727,1.7446043291994742e-07,4,True
SPA-001,gradient_magnitude,value_mean,modifier_id,0.021581940363672603,1.7176124974750775e-09,4,True
TOP-001,euler_characteristic,volatility,d_encoding_id,0.021580600932855142,0.9498172181214176,10,False
SPA-001,gradient_magnitude,slope,modifier_id,0.021487117421709504,0.4572217221419831,4,False
GRA-001,degree_variance,relative_change,gamma_id,0.021458441850860568,6.30225771744722e-126,12,True
SPE-002,spectral_radius,volatility,d_encoding_id,0.021253998254404164,1.7496075743207338e-26,10,True
SPE-001,eigenvalue_max,volatility,d_encoding_id,0.021253998254404164,1.7496075743207338e-26,10,True
TOP-001,connected_components,value_final,modifier_id,0.019393110485739,2.6776797392149585e-07,4,True
SYM-001,asymmetry_norm_normalized,value_mean,modifier_id,0.019234655348947576,5.1873148813154125e-43,4,True
TOP-001,euler_characteristic,value_final,gamma_id,0.018967263739963047,6.610560455840955e-29,12,True
PAT-001,concentration_top10,value_mean,modifier_id,0.01846710451306714,2.9131550154001636e-05,4,True
SYM-001,asymmetry_norm_normalized,value_final,modifier_id,0.018310447628933007,3.769412971327817e-23,4,True
GRA-001,degree_variance,relative_change,d_encoding_id,0.018085418092254835,6.147679121089167e-76,10,True
SPE-001,spectral_gap,slope,d_encoding_id,0.016875978883821363,6.181773070687551e-16,10,True
PAT-001,uniformity,relative_change,modifier_id,0.016538574769346923,0.9910439051025038,4,False
GRA-001,clustering_local,volatility,d_encoding_id,0.016397580594537147,1.7013954226630074e-25,10,True
TOP-001,euler_characteristic,relative_change,gamma_id,0.015704691469524218,0.0,12,True
PAT-001,diversity_simpson,relative_change,modifier_id,0.015528786708532947,0.9973684473947353,4,False
SPA-001,gradient_magnitude,relative_change,modifier_id,0.015200115588025575,6.702273000210584e-07,4,True
GRA-001,density,relative_change,gamma_id,0.014100992159213628,7.704529158687588e-74,12,True
GRA-001,clustering_local,relative_change,gamma_id,0.01410077625127989,8.93977832015414e-82,12,True
SYM-001,asymmetry_norm_normalized,volatility,modifier_id,0.013686262089988094,2.0001803221863825e-142,4,True
PAT-001,concentration_top10,value_final,modifier_id,0.01294733866679307,1.9359611253237786e-05,4,True
GRA-001,degree_variance,volatility,modifier_id,0.012711518106275875,3.202122229663051e-11,4,True
PAT-001,diversity_simpson,volatility,modifier_id,0.01224848858530931,0.2864752937779571,4,False
GRA-001,density,value_final,modifier_id,0.010874139183248229,9.871414899322075e-05,4,True
PAT-001,uniformity,volatility,modifier_id,0.01077796073505138,0.25717029813521075,4,False
GRA-001,density,value_mean,modifier_id,0.010773794556923195,3.3007725265810615e-05,4,True
GRA-001,degree_variance,slope,d_encoding_id,0.010650212879186613,2.4909921866289636e-54,10,True
TOP-001,holes_count,value_mean,seed,0.007753743741173779,4.750896472024499e-09,5,True
SYM-001,asymmetry_norm_normalized,volatility,d_encoding_id,0.00770804124348704,1.2646630881557375e-05,10,True
UNIV-002,trace_absolute,relative_change,gamma_id,0.007694815600301287,1.714892226437433e-169,12,True
UNIV-002,trace_normalized,relative_change,gamma_id,0.007694815589929517,1.0508527634914606e-169,12,True
GRA-001,clustering_local,value_final,modifier_id,0.007429396537012164,0.001369796849566689,4,True
SPA-001,laplacian_energy,slope,seed,0.007297146727855235,0.030409245925301157,5,True
TOP-001,euler_characteristic,relative_change,seed,0.00676054170688732,0.981417780524426,5,False
GRA-001,clustering_local,value_mean,modifier_id,0.006760383021824114,0.0003463945831593582,4,True
UNIV-001,frobenius_norm,volatility,d_encoding_id,0.00675795355460345,3.2776090284496295e-05,10,True
SPA-001,gradient_magnitude,volatility,modifier_id,0.006583413932053261,0.36410756173934944,4,False
SPA-001,smoothness,value_mean,d_encoding_id,0.00639187167867641,3.4281525069086225e-20,10,True
UNIV-002,trace_absolute,volatility,seed,0.006289716005861096,0.016123296578690396,5,True
UNIV-002,trace_normalized,volatility,seed,0.006222205680305033,0.029922160870513054,5,True
PAT-001,concentration_top10,slope,gamma_id,0.00608627534079617,0.0,12,True
SPA-001,smoothness,volatility,d_encoding_id,0.005995447603308712,2.1445233203687004e-66,10,True
GRA-001,degree_variance,relative_change,modifier_id,0.005883950699040542,5.249640576454835e-13,4,True
SPE-002,spectral_radius,relative_change,gamma_id,0.005849531256605203,4.74302248191999e-232,12,True
SPE-001,eigenvalue_max,relative_change,gamma_id,0.005849531256605203,4.74302248191999e-232,12,True
SPE-001,spectral_gap,volatility,seed,0.005772417940249157,0.13171465286058257,5,False
UNIV-002,trace_normalized,value_final,gamma_id,0.005605839010038146,7.126768713902493e-74,12,True
UNIV-002,trace_absolute,value_final,gamma_id,0.0056058390100381435,8.452582231922065e-74,12,True
SPE-001,eigenvalue_max,value_final,gamma_id,0.005605839009814901,0.0,12,True
SPE-002,spectral_radius,value_final,gamma_id,0.005605839009814901,0.0,12,True
